# x y rho ux uy
3 57 1.007003 0.094985 -0.007558
3 58 1.006916 0.094991 -0.006408
3 59 1.006843 0.094996 -0.005252
3 60 1.006785 0.095000 -0.004090
3 61 1.006741 0.095004 -0.002924
3 62 1.006712 0.095006 -0.001756
3 63 1.006698 0.095007 -0.000585
3 64 1.006698 0.095007 0.000585
3 65 1.006712 0.095006 0.001756
3 66 1.006741 0.095004 0.002924
3 67 1.006785 0.095000 0.004090
3 68 1.006843 0.094996 0.005252
3 69 1.006916 0.094991 0.006408
3 70 1.007003 0.094985 0.007558
3 71 1.007106 0.094977 0.008700
3 72 1.007224 0.094969 0.009833
3 73 1.007357 0.094960 0.010955
3 74 1.007506 0.094950 0.012067
3 75 1.007671 0.094940 0.013165
3 76 1.007852 0.094929 0.014250
3 77 1.008049 0.094918 0.015319
3 78 1.008264 0.094906 0.016371
3 79 1.008496 0.094894 0.017404
3 80 1.008745 0.094881 0.018418
3 81 1.009013 0.094869 0.019410
3 82 1.009299 0.094857 0.020380
3 83 1.009605 0.094845 0.021324
3 84 1.009930 0.094834 0.022242
3 85 1.010276 0.094823 0.023132
3 86 1.010643 0.094814 0.023992
3 87 1.011031 0.094805 0.024820
3 88 1.011441 0.094797 0.025613
3 89 1.011875 0.094792 0.026371
3 90 1.012333 0.094788 0.027089
3 91 1.012816 0.094786 0.027767
3 92 1.013324 0.094787 0.028401
3 93 1.013859 0.094791 0.028989
3 94 1.014422 0.094798 0.029528
3 95 1.015014 0.094809 0.030014
3 96 1.015636 0.094824 0.030445
3 97 1.016290 0.094845 0.030817
3 98 1.016977 0.094871 0.031125
3 99 1.017699 0.094904 0.031367
3 100 1.018456 0.094944 0.031536
3 101 1.019252 0.094994 0.031628
3 102 1.020088 0.095053 0.031637
3 103 1.020966 0.095125 0.031556
3 104 1.021889 0.095211 0.031379
3 105 1.022859 0.095313 0.031097
3 106 1.023880 0.095434 0.030700
3 107 1.024955 0.095579 0.030178
3 108 1.026087 0.095751 0.029518
3 109 1.027281 0.095957 0.028705
3 110 1.028542 0.096203 0.027724
3 111 1.029876 0.096498 0.026552
3 112 1.031287 0.096851 0.025169
3 113 1.032784 0.097274 0.023547
3 114 1.034375 0.097781 0.021657
3 115 1.036068 0.098386 0.019467
3 116 1.037874 0.099103 0.016944
3 117 1.039804 0.099942 0.014059
3 118 1.041870 0.100898 0.010798
3 119 1.044082 0.101938 0.007174
3 120 1.046448 0.102964 0.003264
3 121 1.048972 0.103746 -0.000742
3 122 1.051642 0.103793 -0.004464
3 123 1.054420 0.102094 -0.007232
3 124 1.057212 0.096660 -0.008082
3 125 1.059742 0.084185 -0.006323
3 126 1.061250 0.060601 -0.002680
3 127 1.060055 0.023150 -0.000194
4 0 1.054136 0.022011 0.000512
4 1 1.055007 0.057339 0.003148
4 2 1.054388 0.081558 0.006591
4 3 1.052886 0.096172 0.008885
4 4 1.050975 0.103765 0.009193
4 5 1.048905 0.106908 0.007662
4 6 1.046794 0.107554 0.004886
4 7 1.044704 0.106943 0.001472
4 8 1.042673 0.105783 -0.002138
4 9 1.040722 0.104453 -0.005669
4 10 1.038861 0.103142 -0.008972
4 11 1.037093 0.101937 -0.011978
4 12 1.035418 0.100867 -0.014664
4 13 1.033833 0.099937 -0.017037
4 14 1.032333 0.099135 -0.019115
4 15 1.030912 0.098447 -0.020922
4 16 1.029567 0.097858 -0.022484
4 17 1.028291 0.097353 -0.023825
4 18 1.027081 0.096919 -0.024968
4 19 1.025931 0.096544 -0.025932
4 20 1.024839 0.096219 -0.026734
4 21 1.023801 0.095936 -0.027391
4 22 1.022813 0.095689 -0.027915
4 23 1.021873 0.095473 -0.028318
4 24 1.020978 0.095282 -0.028610
4 25 1.020126 0.095114 -0.028799
4 26 1.019314 0.094964 -0.028895
4 27 1.018540 0.094832 -0.028904
4 28 1.017803 0.094715 -0.028832
4 29 1.017101 0.094610 -0.028684
4 30 1.016432 0.094516 -0.028467
4 31 1.015795 0.094433 -0.028183
4 32 1.015188 0.094359 -0.027838
4 33 1.014611 0.094293 -0.027435
4 34 1.014062 0.094234 -0.026978
4 35 1.013540 0.094181 -0.026471
4 36 1.013044 0.094135 -0.025915
4 37 1.012573 0.094093 -0.025314
4 38 1.012126 0.094057 -0.024671
4 39 1.011702 0.094024 -0.023989
4 40 1.011301 0.093996 -0.023268
4 41 1.010922 0.093971 -0.022513
4 42 1.010563 0.093949 -0.021725
4 43 1.010226 0.093930 -0.020905
4 44 1.009908 0.093914 -0.020057
4 45 1.009609 0.093900 -0.019182
4 46 1.009329 0.093888 -0.018281
4 47 1.009067 0.093877 -0.017356
4 48 1.008823 0.093869 -0.016409
4 49 1.008597 0.093862 -0.015442
4 50 1.008387 0.093855 -0.014457
4 51 1.008193 0.093851 -0.013453
4 52 1.008016 0.093846 -0.012434
4 53 1.007855 0.093843 -0.011400
4 54 1.007709 0.093841 -0.010353
4 55 1.007579 0.093839 -0.009295
4 56 1.007464 0.093837 -0.008226
4 57 1.007363 0.093836 -0.007147
4 58 1.007277 0.093835 -0.006061
4 59 1.007206 0.093834 -0.004968
4 60 1.007149 0.093834 -0.003870
4 61 1.007107 0.093834 -0.002767
4 62 1.007078 0.093834 -0.001661
4 63 1.007064 0.093833 -0.000554
4 64 1.007064 0.093833 0.000554
4 65 1.007078 0.093834 0.001661
4 66 1.007107 0.093834 0.002767
4 67 1.007149 0.093834 0.003870
4 68 1.007206 0.093834 0.004968
4 69 1.007277 0.093835 0.006061
4 70 1.007363 0.093836 0.007147
4 71 1.007464 0.093837 0.008226
4 72 1.007579 0.093839 0.009295
4 73 1.007709 0.093841 0.010353
4 74 1.007855 0.093843 0.011400
4 75 1.008016 0.093846 0.012434
4 76 1.008193 0.093851 0.013453
4 77 1.008387 0.093855 0.014457
4 78 1.008597 0.093862 0.015442
4 79 1.008823 0.093869 0.016409
4 80 1.009067 0.093877 0.017356
4 81 1.009329 0.093888 0.018281
4 82 1.009609 0.093900 0.019182
4 83 1.009908 0.093914 0.020057
4 84 1.010226 0.093930 0.020905
4 85 1.010563 0.093949 0.021725
4 86 1.010922 0.093971 0.022513
4 87 1.011301 0.093996 0.023268
4 88 1.011702 0.094024 0.023989
4 89 1.012126 0.094057 0.024671
4 90 1.012573 0.094093 0.025314
4 91 1.013044 0.094135 0.025915
4 92 1.013540 0.094181 0.026471
4 93 1.014062 0.094234 0.026978
4 94 1.014611 0.094293 0.027435
4 95 1.015188 0.094359 0.027838
4 96 1.015795 0.094433 0.028183
4 97 1.016432 0.094516 0.028467
4 98 1.017101 0.094610 0.028684
4 99 1.017803 0.094715 0.028832
4 100 1.018540 0.094832 0.028904
4 101 1.019314 0.094964 0.028895
4 102 1.020126 0.095114 0.028799
4 103 1.020978 0.095282 0.028610
4 104 1.021873 0.095473 0.028318
4 105 1.022813 0.095689 0.027915
4 106 1.023801 0.095936 0.027391
4 107 1.024839 0.096219 0.026734
4 108 1.025931 0.096544 0.025932
4 109 1.027081 0.096919 0.024968
4 110 1.028291 0.097353 0.023825
4 111 1.029567 0.097858 0.022484
4 112 1.030912 0.098447 0.020922
4 113 1.032333 0.099135 0.019115
4 114 1.033833 0.099937 0.017037
4 115 1.035418 0.100867 0.014664
4 116 1.037093 0.101937 0.011978
4 117 1.038861 0.103142 0.008972
4 118 1.040722 0.104453 0.005669
4 119 1.042673 0.105783 0.002138
4 120 1.044704 0.106943 -0.001472
4 121 1.046794 0.107554 -0.004886
4 122 1.048905 0.106908 -0.007662
4 123 1.050975 0.103765 -0.009193
4 124 1.052886 0.096172 -0.008885
4 125 1.054388 0.081558 -0.006591
4 126 1.055007 0.057339 -0.003148
4 127 1.054136 0.022011 -0.000512
5 0 1.049151 0.020591 0.000541
5 1 1.049998 0.054281 0.003026
5 2 1.049855 0.078769 0.006316
5 3 1.048995 0.094881 0.008925
5 4 1.047708 0.104294 0.010038
5 5 1.046187 0.108949 0.009524
5 6 1.044542 0.110565 0.007692
5 7 1.042842 0.110425 0.004999
5 8 1.041130 0.109377 0.001864
5 9 1.039439 0.107933 -0.001400
5 10 1.037789 0.106385 -0.004590
5 11 1.036194 0.104883 -0.007590
5 12 1.034661 0.103501 -0.010340
5 13 1.033194 0.102264 -0.012817
5 14 1.031794 0.101174 -0.015023
5 15 1.030458 0.100221 -0.016969
5 16 1.029185 0.099391 -0.018673
5 17 1.027973 0.098667 -0.020154
5 18 1.026819 0.098036 -0.021434
5 19 1.025719 0.097484 -0.022529
5 20 1.024671 0.096999 -0.023458
5 21 1.023673 0.096571 -0.024235
5 22 1.022721 0.096192 -0.024874
5 23 1.021814 0.095855 -0.025387
5 24 1.020949 0.095554 -0.025785
5 25 1.020124 0.095284 -0.026077
5 26 1.019338 0.095041 -0.026270
5 27 1.018588 0.094822 -0.026373
5 28 1.017873 0.094623 -0.026392
5 29 1.017191 0.094444 -0.026333
5 30 1.016541 0.094280 -0.026201
5 31 1.015922 0.094132 -0.026001
5 32 1.015332 0.093996 -0.025738
5 33 1.014770 0.093873 -0.025415
5 34 1.014236 0.093760 -0.025036
5 35 1.013727 0.093657 -0.024604
5 36 1.013244 0.093563 -0.024124
5 37 1.012785 0.093477 -0.023597
5 38 1.012349 0.093399 -0.023027
5 39 1.011936 0.093327 -0.022415
5 40 1.011545 0.093262 -0.021766
5 41 1.011175 0.093202 -0.021080
5 42 1.010826 0.093148 -0.020361
5 43 1.010496 0.093099 -0.019609
5 44 1.010186 0.093054 -0.018828
5 45 1.009894 0.093013 -0.018020
5 46 1.009621 0.092976 -0.017185
5 47 1.009365 0.092943 -0.016326
5 48 1.009127 0.092912 -0.015444
5 49 1.008906 0.092885 -0.014541
5 50 1.008701 0.092861 -0.013620
5 51 1.008512 0.092839 -0.012680
5 52 1.008339 0.092820 -0.011724
5 53 1.008181 0.092802 -0.010753
5 54 1.008039 0.092787 -0.009769
5 55 1.007911 0.092774 -0.008772
5 56 1.007799 0.092762 -0.007765
5 57 1.007700 0.092753 -0.006749
5 58 1.007616 0.092744 -0.005724
5 59 1.007547 0.092738 -0.004693
5 60 1.007491 0.092732 -0.003656
5 61 1.007450 0.092728 -0.002614
5 62 1.007422 0.092726 -0.001570
5 63 1.007408 0.092724 -0.000523
5 64 1.007408 0.092724 0.000523
5 65 1.007422 0.092726 0.001570
5 66 1.007450 0.092728 0.002614
5 67 1.007491 0.092732 0.003656
5 68 1.007547 0.092738 0.004693
5 69 1.007616 0.092744 0.005724
5 70 1.007700 0.092753 0.006749
5 71 1.007799 0.092762 0.007765
5 72 1.007911 0.092774 0.008772
5 73 1.008039 0.092787 0.009769
